day,Susceptible,Exposed,Infectious,Recovered
331.0,6799076.355224456,0.04067503091121694,0.4097259372535566,193200923.19437453
332.0,6799076.350556937,0.03755397576227267,0.3782863360187374,193200923.2336027
333.0,6799076.3462517625,0.034675227971389694,0.3492874035883509,193200923.26978558
334.0,6799076.342276413,0.03201701583706391,0.3225101334770202,193200923.3031964
335.0,6799076.338599709,0.029558454510632763,0.2977445262099218,193200923.33409727
336.0,6799076.335194623,0.02728145717873228,0.2748085603826573,193200923.36271533
337.0,6799076.332046662,0.025176390952191253,0.2536045407943728,193200923.38917238
338.0,6799076.329139526,0.023232367671906482,0.23402266337454997,193200923.41360542
339.0,6799076.326456978,0.02143853519921704,0.21595356132667037,193200923.4361509
340.0,6799076.323983304,0.019784388394063736,0.19929138304736388,193200923.4569409
341.0,6799076.321703312,0.018259769114989104,0.1839337921264082,193200923.4761031
342.0,6799076.319602329,0.016854866219137406,0.1697819673467294,193200923.49376082
343.0,6799076.317666208,0.015560215562254637,0.1567406026844015,193200923.51003295
344.0,6799076.31588132,0.01436669999868852,0.1447179073086466,193200923.52503404
345.0,6799076.3142345585,0.013265549381388509,0.13362560558183517,193200923.53887427
346.0,6799076.312713338,0.012248340561905779,0.12337893705948541,193200923.55165935
347.0,6799076.311305597,0.011306997390393248,0.11389665649026393,193200923.56349072
348.0,6799076.310002209,0.010435419954640257,0.1051172860501225,193200923.57444507
349.0,6799076.308797715,0.009629973588269747,0.0970040602756151,193200923.58456823
350.0,6799076.307685631,0.008886322187734184,0.08951328267775258,193200923.59391475
351.0,6799076.306659669,0.008200262224079047,0.08260259786588771,193200923.60253745
352.0,6799076.305713741,0.007567725171330946,0.07623101573325668,193200923.6104875
353.0,6799076.304841967,0.00698477750649764,0.07035891145697899,193200923.61781433
354.0,6799076.304038667,0.006447620709568024,0.06494802549805755,193200923.62456566
355.0,6799076.303298362,0.005952591263512132,0.05996146360137858,193200923.63078755
356.0,6799076.302615778,0.00549616065428114,0.055363696795711737,193200923.63652435
357.0,6799076.301985842,0.005074935370807362,0.051120561393709976,193200923.64181864
358.0,6799076.3014036855,0.004685656905004257,0.04719925899190966,193200923.64671138
359.0,6799076.3008647,0.004325241902737708,0.043568758726894224,193200923.65124127
360.0,6799076.300366482,0.003992085161644178,0.04021285265725502,193200923.65542856
361.0,6799076.299906636,0.0036845887197091425,0.03711541881449036,193200923.65929335
362.0,6799076.299482251,0.003400804880754219,0.0342568389359161,193200923.6628601
363.0,6799076.299090594,0.0031389074502945072,0.03161871877523932,193200923.66615176
364.0,6799076.298729119,0.0028971917355385866,0.029183888102558345,193200923.66918978
365.0,6799076.298395457,0.002674074545388518,0.026936400704362748,193200923.67199406
